"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Numéro.Objectif";"Objectif";"Numéro.indicateur";"Indicateur";"type.indicateur";"Stratégique.au.niveau.mission.";"Sous.indicateur";"Unité";"Réalisation.2014";"Réalisation.2015";"Prévision.2016.PAP.2016";"Prévision.2016.PAP.2017";"Réalisation.2016";"Année.cible";"Valeur.cible";"Code.Ministère.LFI.2016";"Ministère.LFI.2016"
"Budget général";"Enseignement scolaire";"P140";"Enseignement scolaire public du premier degré";"P140.1";"Conduire tous les élèves à la maîtrise des connaissances et compétences du socle commun exigibles au terme de la scolarité primaire";"P140.1.5";"Scolarisation des élèves du 1er degré en situation de handicap";"Citoyen";"";"Pour information : Proportion d'élèves en situation de handicap parmi les élèves des écoles du premier degré";"%";"2,3";"2,4";"so";"so";"n.d.";"2017";"so";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P140";"Enseignement scolaire public du premier degré";"P140.1";"Conduire tous les élèves à la maîtrise des connaissances et compétences du socle commun exigibles au terme de la scolarité primaire";"P140.1.5";"Scolarisation des élèves du 1er degré en situation de handicap";"Citoyen";"";"Pourcentage de postes spécialisés en ULIS écoles occupés par des enseignants spécialisés ou en cours de spécialisation";"%";"71";"71,2";"72";"72";"71";"2017";"74";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P140";"Enseignement scolaire public du premier degré";"P140.2";"Promouvoir un aménagement équilibré du territoire éducatif en optimisant les moyens alloués";"P140.2.1";"Nombre d'académies bénéficiant d'une dotation globale équilibrée parmi les 30 académies";"Contribuable";"";"Nombre d'académies bénéficiant d'une dotation globale équilibrée parmi les 30";"Nb";"21";"23";"21";"23";"24";"2017";"22";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P140";"Enseignement scolaire public du premier degré";"P140.2";"Promouvoir un aménagement équilibré du territoire éducatif en optimisant les moyens alloués";"P140.2.2";"Écarts de taux d'encadrement à l'école primaire entre éducation prioritaire (EP) et hors EP";"Citoyen";"";"écart entre REP+ et hors REP+/REP";"élèves par classe";"-1,5";"-1,47";"-2";"-1,7";"-1,56";"2017";"-3";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P140";"Enseignement scolaire public du premier degré";"P140.2";"Promouvoir un aménagement équilibré du territoire éducatif en optimisant les moyens alloués";"P140.2.2";"Écarts de taux d'encadrement à l'école primaire entre éducation prioritaire (EP) et hors EP";"Citoyen";"";"écart entre REP et hors REP+/REP";"élèves par classe";"- 1,4";"-1,23";"-1,7";"-1,4";"-1,32";"2017";"-2";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P140";"Enseignement scolaire public du premier degré";"P140.2";"Promouvoir un aménagement équilibré du territoire éducatif en optimisant les moyens alloués";"P140.2.2";"Écarts de taux d'encadrement à l'école primaire entre éducation prioritaire (EP) et hors EP";"Citoyen";"";"Pour information : taux  d'encadrement en REP+";"E/C";"22,7";"22,68";"so";"so";"22,49";"2017";"so";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P140";"Enseignement scolaire public du premier degré";"P140.2";"Promouvoir un aménagement équilibré du territoire éducatif en optimisant les moyens alloués";"P140.2.2";"Écarts de taux d'encadrement à l'école primaire entre éducation prioritaire (EP) et hors EP";"Citoyen";"";"Pour information : taux d'encadrement en REP";"E/C";"22,8";"22,91";"so";"so";"22,73";"2017";"so";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P140";"Enseignement scolaire public du premier degré";"P140.2";"Promouvoir un aménagement équilibré du territoire éducatif en optimisant les moyens alloués";"P140.2.2";"Écarts de taux d'encadrement à l'école primaire entre éducation prioritaire (EP) et hors EP";"Citoyen";"";"Pour information : taux d'encadrement hors REP+/REP";"E/C";"24,2";"24,14";"so";"so";"24,06";"2017";"so";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P140";"Enseignement scolaire public du premier degré";"P140.2";"Promouvoir un aménagement équilibré du territoire éducatif en optimisant les moyens alloués";"P140.2.2";"Écarts de taux d'encadrement à l'école primaire entre éducation prioritaire (EP) et hors EP";"Citoyen";"";"Proportion d'enseignants avec 5 ans et plus d'ancienneté dans une école en éducation prioritaire";"%";"36,5";"35,6";"37,5";"37,5";"N.D.";"2017";"38,5";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.1";"Proportion d'élèves maîtrisant en fin de troisième les compétences 1 et 3 du socle commun de connaissances, de compétences et de culture";"Citoyen";"";"Compétence 1 (maîtrise de la langue française) - total";"%";"s.o.";"s.o.";"83";"s.o.";"76,2 (± 2,9)";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.1";"Proportion d'élèves maîtrisant en fin de troisième les compétences 1 et 3 du socle commun de connaissances, de compétences et de culture";"Citoyen";"";"Compétence 1 (maîtrise de la langue française) - en REP+";"%";"s.o.";"s.o.";"64";"s.o.";"64,3 (± 2,4)";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.1";"Proportion d'élèves maîtrisant en fin de troisième les compétences 1 et 3 du socle commun de connaissances, de compétences et de culture";"Citoyen";"";"Compétence 1 (maîtrise de la langue française) - en REP";"%";"s.o.";"s.o.";"77";"s.o.";"70,4 (± 2,7)";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.1";"Proportion d'élèves maîtrisant en fin de troisième les compétences 1 et 3 du socle commun de connaissances, de compétences et de culture";"Citoyen";"";"Compétence 1 (maîtrise de la langue française) - hors REP+/REP";"%";"s.o.";"s.o.";"85";"s.o.";"78,5 (± 3,7)";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.1";"Proportion d'élèves maîtrisant en fin de troisième les compétences 1 et 3 du socle commun de connaissances, de compétences et de culture";"Citoyen";"";"Compétence 3 (principaux éléments de mathématiques et de culture scientifique et technologique) - total";"%";"s.o.";"s.o.";"82";"s.o.";"73,1 (± 2,7)";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.1";"Proportion d'élèves maîtrisant en fin de troisième les compétences 1 et 3 du socle commun de connaissances, de compétences et de culture";"Citoyen";"";"Compétence 3 (principaux éléments de mathématiques et de culture scientifique et technologique) - en REP+";"%";"s.o.";"s.o.";"61";"s.o.";"60,2 (± 2,3)";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.1";"Proportion d'élèves maîtrisant en fin de troisième les compétences 1 et 3 du socle commun de connaissances, de compétences et de culture";"Citoyen";"";"Compétence 3 (principaux éléments de mathématiques et de culture scientifique et technologique) - en REP";"%";"s.o.";"s.o.";"72";"s.o.";"65,6 (± 3)";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.1";"Proportion d'élèves maîtrisant en fin de troisième les compétences 1 et 3 du socle commun de connaissances, de compétences et de culture";"Citoyen";"";"Compétence 3 (principaux éléments de mathématiques et de culture scientifique et technologique) - hors REP+/REP";"%";"s.o.";"s.o.";"83";"s.o.";"75,8 (± 3,5)";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.2";"Écart de taux de réussite au diplôme national du brevet (DNB) entre éducation prioritaire (EP) et hors EP";"Citoyen";"";"écart entre REP+ et hors EP et non REP+";"écart entre taux";"-11,1";"-10,5";"-10,2";"-10,2";"-10,9";"2017";"-10";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.2";"Écart de taux de réussite au diplôme national du brevet (DNB) entre éducation prioritaire (EP) et hors EP";"Citoyen";"";"écart entre REP et hors REP et non REP";"écart entre taux";"-6,7";"-6,9";"-6,2";"-6,4";"-7,4";"2017";"-6";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.2";"Écart de taux de réussite au diplôme national du brevet (DNB) entre éducation prioritaire (EP) et hors EP";"Citoyen";"";"Pour information : taux de réussite au DNB en REP+";"%";"73,7";"75,5";"s.o.";"s.o.";"76,1";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.2";"Écart de taux de réussite au diplôme national du brevet (DNB) entre éducation prioritaire (EP) et hors EP";"Citoyen";"";"Pour information : taux de réussite au DNB en REP";"%";"78,1";"79,2";"s.o.";"s.o.";"79,6";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.3";"Mixité des filles et des garçons dans les formations technologiques et professionnelles";"Citoyen";"";"Proportion de filles en terminale STI2D";"%";"7,2";"6,8";"10";"8";"7,1";"2017";"11";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.3";"Mixité des filles et des garçons dans les formations technologiques et professionnelles";"Citoyen";"";"Proportion de garçons en terminale ST2S";"%";"9,2";"10,5";"10,5";"12";"11,2";"2017";"11";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.3";"Mixité des filles et des garçons dans les formations technologiques et professionnelles";"Citoyen";"";"Proportion de filles en terminale professionnelle des spécialités de production";"%";"11,7";"11,4";"14,5";"12,5";"11,6";"2017";"16";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.3";"Mixité des filles et des garçons dans les formations technologiques et professionnelles";"Citoyen";"";"Proportion de garçons en terminale professionnelle des spécialités plurivalentes sanitaires et sociales";"%";"6,6";"7";"8,5";"8";"7,7";"2017";"10";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.3";"Mixité des filles et des garçons dans les formations technologiques et professionnelles";"Citoyen";"";"Pour information : Proportion de filles en terminale S";"%";"46,2";"47";"s.o.";"s.o";"46,9";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.3";"Mixité des filles et des garçons dans les formations technologiques et professionnelles";"Citoyen";"";"Pour information : Proportion de garçons en terminale L";"%";"21";"20,5";"s.o.";"s.o";"20,9";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.4";"Taux d'accès au diplôme correspondant des élèves ou apprentis inscrits en première année d'un cycle de formation";"Citoyen";"";"Taux d'accès à un bac général ou technologique des élèves de 2nde GT";"%";"90,2";"90,8";"92";"91,5";"91,3";"2017";"93";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.4";"Taux d'accès au diplôme correspondant des élèves ou apprentis inscrits en première année d'un cycle de formation";"Citoyen";"";"Taux d'accès au diplôme de CAP des élèves de première année de CAP - par la voie scolaire";"%";"70,8";"71,9";"73,5";"73,5";"72,3";"2017";"75";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.4";"Taux d'accès au diplôme correspondant des élèves ou apprentis inscrits en première année d'un cycle de formation";"Citoyen";"";"Taux d'accès au diplôme de CAP des élèves de 1ère année de CAP - par apprentissage";"%";"60,3";"61,3";"64";"64";"n.d";"2017";"66";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.4";"Taux d'accès au diplôme correspondant des élèves ou apprentis inscrits en première année d'un cycle de formation";"Citoyen";"";"Taux d'accès au baccalauréat professionnel des élèves de seconde professionnelle - par la voie scolaire";"%";"67,1";"65,6";"74";"71";"68,3";"2017";"78";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.4";"Taux d'accès au diplôme correspondant des élèves ou apprentis inscrits en première année d'un cycle de formation";"Citoyen";"";"Taux d'accès au baccalauréat professionnel des élèves de seconde professionnelle - par apprentissage";"%";"48,4";"50,7";"51";"51";"n.d";"2017";"52";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.4";"Taux d'accès au diplôme correspondant des élèves ou apprentis inscrits en première année d'un cycle de formation";"Citoyen";"";"Taux d'accès au BTS des élèves de première année de BTS - par la voie scolaire";"%";"70,4";"71,6";"74,7";"73";"71,7";"2017";"76";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.4";"Taux d'accès au diplôme correspondant des élèves ou apprentis inscrits en première année d'un cycle de formation";"Citoyen";"";"Taux d'accès au BTS des élèves de première année de BTS - par apprentissage";"%";"63,8";"65";"70,5";"70,5";"n.d";"2017";"72";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.5";"Taux de redoublement";"Usager";"";"en 6ème";"%";"1,9";"1,3";"0,9";"0,9";"0,5";"2017";"0,5";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.5";"Taux de redoublement";"Usager";"";"en 5ème";"%";"1,1";"0,7";"0,4";"0,4";"0,3";"2017";"0,1";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.5";"Taux de redoublement";"Usager";"";"en 4ème";"%";"1,4";"0,9";"0,6";"0,6";"0,4";"2017";"0,3";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.5";"Taux de redoublement";"Usager";"";"en 3ème";"%";"3,3";"3";"2,5";"2,5";"2,1";"2017";"2";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.5";"Taux de redoublement";"Usager";"";"en 2nde générale et technologique";"%";"7,3";"6,7";"6,2";"6,2";"4,1";"2017";"5,5";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.6";"Proportion d'élèves entrant en 3ème avec au moins un an de retard";"Citoyen";"";"Total";"%";"20,3";"20";"16,7";"17,6";"18";"2017";"15,5";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.6";"Proportion d'élèves entrant en 3ème avec au moins un an de retard";"Citoyen";"";"Total REP+";"%";"s.o.";"33,5";"31";"31";"31,5";"2017";"28";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.6";"Proportion d'élèves entrant en 3ème avec au moins un an de retard";"Citoyen";"";"Total REP";"%";"s.o.";"26";"23";"24";"23,2";"2017";"22";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.6";"Proportion d'élèves entrant en 3ème avec au moins un an de retard";"Citoyen";"";"Total hors REP+/REP";"%";"s.o.";"18";"11,5";"16";"16,1";"2017";"10";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.6";"Proportion d'élèves entrant en 3ème avec au moins un an de retard";"Citoyen";"";"Un an de retard";"%";"18,6";"18,4";"16";"17";"16,6";"2017";"15";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.6";"Proportion d'élèves entrant en 3ème avec au moins un an de retard";"Citoyen";"";"Un an de retard (REP+)";"%";"s.o.";"28,8";"28";"28,6";"27,2";"2017";"26";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.6";"Proportion d'élèves entrant en 3ème avec au moins un an de retard";"Citoyen";"";"Un an de retard (REP)";"%";"s.o.";"23,2";"22";"23";"21";"2017";"21";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.6";"Proportion d'élèves entrant en 3ème avec au moins un an de retard";"Citoyen";"";"Un an de retard hors REP+/REP";"%";"s.o.";"16,8";"11";"15,2";"15";"2017";"9";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.6";"Proportion d'élèves entrant en 3ème avec au moins un an de retard";"Citoyen";"";"Deux ans de retard ou plus";"%";"1,6";"1,6";"0,7";"0,7";"1,4";"2017";"0,5";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.6";"Proportion d'élèves entrant en 3ème avec au moins un an de retard";"Citoyen";"";"Deux ans de retard ou plus (REP+)";"%";"s.o.";"4,7";"3";"2,4";"4,3";"2017";"2";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.6";"Proportion d'élèves entrant en 3ème avec au moins un an de retard";"Citoyen";"";"Deux ans de retard ou plus (REP)";"%";"s.o.";"2,8";"1";"1";"2,2";"2017";"1";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.6";"Proportion d'élèves entrant en 3ème avec au moins un an de retard";"Citoyen";"";"Deux ans de retard ou plus hors REP+/REP";"%";"s.o.";"1,2";"0,5";"0,5";"1,1";"2017";"0,5";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.7";"Scolarisation des élèves du second degré en situation de handicap";"Citoyen";"";"Taux de couverture des notifications d'affectation en ULIS";"%";"90";"89,1";"92";"91";"n.d";"2017";"93";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.7";"Scolarisation des élèves du second degré en situation de handicap";"Citoyen";"";"Pour information : Nombre de notifications d'affectation en ULIS";"Nombre";"30839";"34221";"s.o.";"s.o.";"n.d";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.7";"Scolarisation des élèves du second degré en situation de handicap";"Citoyen";"";"Pour information : Proportion d'élèves en situation de handicap parmi les élèves de collège";"%";"2,7";"3";"s.o.";"s.o.";"n.d";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.7";"Scolarisation des élèves du second degré en situation de handicap";"Citoyen";"";"Pour information : Proportion d'élèves en situation de handicap parmi les élèves de LEGT";"%";"0,7";"0,7";"s.o.";"s.o.";"n.d";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.7";"Scolarisation des élèves du second degré en situation de handicap";"Citoyen";"";"Pour information : Proportion d'élèves en situation de handicap parmi les élèves de LP";"%";"2,2";"2,5";"s.o.";"s.o.";"n.d";"2017";"s.o.";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.1";"Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants";"P141.1.7";"Scolarisation des élèves du second degré en situation de handicap";"Citoyen";"";"Pourcentage de postes spécialisés en ULIS occupés par des enseignants spécialisés ou en cours de spécialisation";"%";"86";"85";"87";"87";"86,2";"2017";"88";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
"Budget général";"Enseignement scolaire";"P141";"Enseignement scolaire public du second degré";"P141.2";"Favoriser la poursuite d'études ou l'insertion professionnelle des jeunes à l'issue de leur scolarité secondaire";"P141.2.1";"Poursuite d'études des nouveaux bacheliers";"Citoyen";"";"Taux de poursuite des nouveaux bacheliers dans l'enseignement supérieur.";"%";"74,5";"80";"79";"81";"n.d";"2017";"80";"MIN06";"Éducation nationale, enseignement supérieur et recherche"
